"","country","life_ladder","log_gdp_per_capita","social_support","life_expec","freedom_to_make_life_choices","generosity","perceptions_of_corruption","positive_affect","negative_affect","confidence_in_national_government","democratic_quality","delivery_quality","standard_deviation_of_ladder_by_country_year","standard_deviation_mean_of_ladder_by_country_year","gini_index_world_bank_estimate","gini_index_world_bank_estimate_average_2000_15","gini_of_household_income_reported_in_gallup_by_wp5_year","continent"
"22","Central African Republic",3.4758620262146,NA,0.319589138031006,44.6453514099121,0.645252346992493,NA,0.889566004276276,0.613865196704865,0.599335491657257,0.650284886360168,NA,NA,2.80707383155823,0.80759072303772,NA,0.499,0.715371251106262,"Africa"
"23","Chad",4.55893707275391,7.49078512191772,0.660615563392639,45.9840621948242,0.61484968662262,-0.00292905722744763,0.792389929294586,0.627503156661987,0.538245439529419,0.473544389009476,NA,NA,2.88096046447754,0.63193690776825,NA,0.4155,0.561519265174866,"Africa"
"24","Chile",6.32011938095093,10.0375785827637,0.879840791225433,69.6089401245117,0.790116488933563,-0.035265177488327,0.835987508296967,0.838474810123444,0.29104208946228,0.268283307552338,NA,NA,2.16242027282715,0.342148631811142,NA,0.491571428571429,0.574647009372711,"Americas"
"25","China",5.09906148910522,9.63546657562256,0.772033214569092,69.3027954101562,0.877617597579956,-0.194634735584259,NA,0.821097254753113,0.214004755020142,NA,NA,NA,2.27166390419006,0.445506274700165,NA,0.425,0.633354961872101,"Asia"
"26","Colombia",6.15734195709229,9.49086093902588,0.90924996137619,64.1357803344727,0.837554633617401,-0.165878146886826,0.875018119812012,0.836926996707916,0.299308955669403,0.221882596611977,NA,NA,2.5448215007782,0.413298726081848,NA,0.5525,0.542027473449707,"Americas"
"27","Costa Rica",7.22518157958984,9.67063426971436,0.92169713973999,69.867301940918,0.935618460178375,-0.0782685279846191,0.74235075712204,0.874395847320557,0.275440067052841,0.407448440790176,NA,NA,2.07998394966125,0.287879824638367,NA,0.4913125,0.469308227300644,"Americas"
"28","Croatia",5.3431658744812,10.0141887664795,0.770309686660767,67.015510559082,0.715822279453278,-0.109417252242565,0.891559720039368,0.655305027961731,0.316488236188889,0.211000666022301,NA,NA,1.57082140445709,0.29398700594902,NA,0.323333333333333,0.338284969329834,"Europe"
"29","Cyprus",6.06205129623413,10.361367225647,0.818671047687531,72.7627944946289,0.811670660972595,0.0362866669893265,0.851206421852112,0.784188449382782,0.300516605377197,0.312653422355652,NA,NA,2.36952495574951,0.390878409147263,NA,0.324909090909091,0.410138428211212,"Asia"
"30","Czechia",6.7895679473877,10.3934593200684,0.900968968868256,71.4510269165039,0.831785500049591,-0.184590086340904,0.866524994373322,0.738743960857391,0.226649791002274,0.34387081861496,NA,NA,1.69713449478149,0.249962076544762,NA,0.264727272727273,0.282945662736893,"Europe"
"31","Denmark",7.59370231628418,10.7489891052246,0.952100098133087,71.6624984741211,0.955416321754456,0.145387098193169,0.181147560477257,0.823667407035828,0.205775305628777,0.572353303432465,NA,NA,1.66807425022125,0.219665482640266,NA,0.267090909090909,0.63081294298172,"Europe"
"32","Dominican Republic",5.60520267486572,9.59457397460938,0.89436811208725,63.4959945678711,0.855359017848969,-0.127092182636261,0.760489642620087,0.738943636417389,0.274745523929596,0.459901332855225,NA,NA,3.24083709716797,0.578183770179749,NA,0.4886875,0.48091322183609,"Americas"
"33","Ecuador",5.83951854705811,9.2232608795166,0.848941743373871,67.3420639038086,0.879128158092499,-0.169955462217331,0.733588755130768,0.829141974449158,0.314343482255936,0.640512883663177,NA,NA,2.69317531585693,0.461198180913925,NA,0.505928571428571,0.413334310054779,"Americas"
"34","Egypt",3.92934417724609,9.26022338867188,0.638226389884949,61.5737915039062,0.592504799365997,-0.16194474697113,NA,0.539322555065155,0.414493799209595,NA,NA,NA,2.28986072540283,0.582759022712708,NA,0.3122,0.380814850330353,"Africa"
"35","El Salvador",6.33931827545166,9.00117683410645,0.828952610492706,64.3113708496094,0.757827341556549,-0.180290967226028,0.777748584747314,0.848850607872009,0.268448352813721,0.270235061645508,NA,NA,2.47715592384338,0.390760630369186,NA,0.4611875,0.402195245027542,"Americas"
"36","Estonia",5.93839597702026,10.2858448028564,0.935686349868774,67.2843856811523,0.861749231815338,-0.109588325023651,0.668402254581451,0.805217981338501,0.160164102911949,0.405946254730225,NA,NA,1.85183990001678,0.311841756105423,NA,0.333,0.396599620580673,"Europe"
"37","Ethiopia",4.18031549453735,7.43928194046021,0.733539760112762,56.7282676696777,0.717101216316223,0.0118712242692709,0.756898939609528,0.608514785766602,0.304436177015305,0.768354296684265,NA,NA,1.82991588115692,0.437745869159698,NA,0.315,0.42026749253273,"Africa"
"38","Finland",7.78825187683105,10.6123380661011,0.963826417922974,71.6969604492188,0.962198972702026,-0.0121736554428935,0.192412778735161,0.787137091159821,0.176065787672997,0.597538590431213,NA,NA,1.41639828681946,0.181863442063332,NA,0.275909090909091,0.425614446401596,"Europe"
"39","France",6.63522243499756,10.5607738494873,0.9314945936203,72.5889358520508,0.83389014005661,-0.133584961295128,0.601486027240753,0.762097775936127,0.241983935236931,0.374793529510498,NA,NA,1.63106441497803,0.245819106698036,NA,0.3203,0.372855246067047,"Europe"
"40","Gabon",4.78238296508789,9.71563148498535,0.806941151618958,57.1261672973633,0.652359545230865,-0.250832200050354,0.868305504322052,0.634047150611877,0.446124285459518,0.286989241838455,NA,NA,2.45713114738464,0.513788044452667,NA,0.422,0.589230179786682,"Africa"
"41","Georgia",4.45077466964722,9.16909790039062,0.59049516916275,64.3474502563477,0.820908784866333,-0.231422603130341,0.589631974697113,0.58112770318985,0.209639608860016,0.296396225690842,NA,NA,1.77507996559143,0.398824959993362,NA,0.4034375,0.454276502132416,"Asia"
"42","Germany",7.07432460784912,10.7111835479736,0.892166078090668,71.0791015625,0.840727865695953,0.135307535529137,0.414021193981171,0.736565709114075,0.196434810757637,0.622935652732849,NA,NA,1.441730260849,0.203797578811646,NA,0.311571428571429,0.319597333669662,"Europe"
"43","Ghana",5.48131084442139,8.32697105407715,0.66911107301712,54.8658905029297,0.783046364784241,0.0849904790520668,0.838609993457794,0.702511727809906,0.247518941760063,0.670288562774658,NA,NA,2.55111956596375,0.465421438217163,NA,0.425,0.501201510429382,"Africa"
"44","Greece",5.14824151992798,10.1175174713135,0.752899527549744,71.7803421020508,0.438300013542175,-0.296734988689423,0.872239470481873,0.602939009666443,0.332830756902695,0.139880895614624,NA,NA,2.41163110733032,0.468437820672989,NA,0.346909090909091,0.346705943346024,"Europe"
"45","Guatemala",6.32511854171753,8.91890811920166,0.826492071151733,63.3819770812988,0.91452169418335,-0.0617286004126072,0.799747884273529,0.845865786075592,0.308086156845093,0.458623856306076,NA,NA,2.8589460849762,0.451998800039291,NA,0.52675,0.495318561792374,"Americas"
"46","Guinea",4.87372255325317,7.5274772644043,0.634025573730469,51.1518173217773,0.738212823867798,0.054307583719492,0.750026226043701,0.70447713136673,0.42246088385582,0.639980792999268,NA,NA,2.96993541717529,0.609377205371857,NA,0.387,0.618353307247162,"Africa"
"47","Haiti",3.82386565208435,7.40317630767822,0.646984994411469,53.3470077514648,0.484429150819778,0.384510308504105,0.64719158411026,0.573366701602936,0.321692764759064,0.435076951980591,NA,NA,2.15694499015808,0.564074456691742,NA,0.409,0.574473023414612,"Americas"
"48","Honduras",6.01998567581177,8.40437984466553,0.843354940414429,63.7526702880859,0.898377418518066,0.0800740718841553,0.783429443836212,0.842200934886932,0.248383343219757,0.495585024356842,NA,NA,2.96358609199524,0.492291212081909,NA,0.5556,0.561559021472931,"Americas"
"49","Czechia",5.36247491836548,10.9171667098999,0.831066310405731,76.5363616943359,0.830657243728638,0.122934706509113,0.415810197591782,0.639533460140228,0.200593411922455,0.545040726661682,NA,NA,1.78455948829651,0.332786530256271,NA,NA,0.47127839922905,"Europe"
"50","Hungary",6.06503868103027,10.1932382583618,0.87674754858017,67.1933670043945,0.661165952682495,-0.15079303085804,0.886361300945282,0.735184252262115,0.180921271443367,0.377770513296127,NA,NA,1.79240918159485,0.295531362295151,NA,0.296818181818182,0.330753207206726,"Europe"
"51","Iceland",7.47621393203735,10.7604093551636,0.966752827167511,72.7559814453125,0.938783288002014,0.235478714108467,0.726845383644104,0.895254552364349,0.148160010576248,0.365041941404343,NA,NA,1.63009083271027,0.218036949634552,NA,0.280090909090909,0.33243790268898,"Europe"
"52","India",4.04611110687256,8.76845645904541,0.606767475605011,59.502628326416,0.885850429534912,-0.0545028001070023,0.78080278635025,0.682090997695923,0.317936778068542,0.839278399944305,NA,NA,1.65982758998871,0.41022789478302,NA,0.352,0.380112171173096,"Asia"
"53","Indonesia",5.09840154647827,9.32216739654541,0.795589208602905,60.584415435791,0.865026295185089,0.472973853349686,0.900416433811188,0.862584173679352,0.319171577692032,0.825765371322632,NA,NA,2.32517910003662,0.456060409545898,NA,0.395,0.449708253145218,"Asia"
"54","Iran",4.71678304672241,9.85344886779785,0.714232921600342,65.9645538330078,0.730635166168213,0.182735115289688,0.714941322803497,0.693666040897369,0.438533902168274,NA,NA,NA,2.49717903137207,0.52942419052124,NA,0.4132,0.852039635181427,"Asia"
"55","Iraq",4.46239900588989,9.62271976470947,0.695109367370605,61.0458450317383,0.627722024917603,-0.038429033011198,0.757108807563782,0.505288541316986,0.590538740158081,0.424050778150558,NA,NA,2.89948487281799,0.649759232997894,NA,0.2905,0.550368130207062,"Asia"
"56","Ireland",7.06015539169312,11.0664873123169,0.943481981754303,71.7097854614258,0.905341148376465,0.206801742315292,0.337084740400314,0.833388924598694,0.212784126400948,0.603799641132355,NA,NA,1.76133441925049,0.249475300312042,NA,0.325545454545455,0.367454171180725,"Europe"
"57","Israel",7.33103609085083,10.4061317443848,0.916440844535828,71.8650817871094,0.768076300621033,0.137158513069153,0.792652249336243,0.673591315746307,0.276443153619766,0.389368146657944,NA,NA,1.52268290519714,0.207703649997711,NA,0.411,0.245601236820221,"Asia"
"58","Italy",6.19887018203735,10.4724740982056,0.919791221618652,74.1347961425781,0.632843255996704,-0.0433807037770748,0.866667926311493,0.661180734634399,0.32284614443779,0.230196297168732,NA,NA,1.92724657058716,0.310902863740921,NA,0.341272727272727,0.346708387136459,"Europe"
"59","Jamaica",5.8897590637207,9.02586460113525,0.913029849529266,65.8187942504883,0.860676348209381,-0.130832731723785,0.882796168327332,0.769282162189484,0.243399634957314,0.348201751708984,NA,NA,2.39933776855469,0.407374531030655,NA,0.469,0.5645352602005,"Americas"
